Certification Course,Gender,Department,10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree,social media & video,Stress Level,Financial Status
Yes,Female,English Literature,50,92,59.44908584801256,Reading books,0 - 30 minute,Morning,537232,Yes,No,30 - 60 minute,Bad,Awful
No,Male,Electronics and Communication,52,91,94.29131322131099,Sports,1 - 2 Hour,Night,705979,No,Yes,3 - 4 hour,Good,Bad
No,Female,Accounting,83,51,12.34529834256244,Sports,1 - 2 Hour,Night,509720,No,No,2 - 3 hour,Good,Awful
No,Male,Law,14,69,67.03150246293211,Cinema,2 - 3 hour,Night,671793,No,Yes,0 - 30 minute,fabulous,good
No,Female,Biology,28,51,94.3720345495393,Sports,30 - 60 minute,Morning,634505,No,Yes,1 - 2 Hour,Bad,Awful
No,Female,Psychology,9,70,49.286124407225394,Cinema,2 - 3 hour,Morning,490632,Yes,Yes,3 - 4 hour,Bad,Bad
Yes,Male,Biotechnology,80,93,73.65771651045999,Video Games,1 - 2 Hour,Morning,762768,Yes,No,3 - 4 hour,Awful,Bad
Yes,Female,Computer Science,8,88,35.27657200226922,Cinema,30 - 60 minute,Night,752031,Yes,Yes,2 - 3 hour,Bad,good
No,Male,Pharmacy,23,91,31.604613306264287,Cinema,1 - 2 Hour,Anytime,586797,No,Yes,More Than 4 hour,Bad,Fabulous
No,Male,Information Technology,58,75,47.2885230976479,Cinema,2 - 3 hour,Morning,693819,No,Yes,More Than 4 hour,fabulous,Bad
No,Male,History,80,74,85.20989250939277,Cinema,30 - 60 minute,Night,530588,Yes,No,30 - 60 minute,Awful,good
Yes,Male,Business Administration,93,64,64.04738050682758,Video Games,1 - 2 Hour,Night,684816,Yes,Yes,More Than 4 hour,Bad,Bad
Yes,Male,Pharmacy,90,50,72.30308418280653,Reading books,1 - 2 Hour,Night,760186,Yes,Yes,2 - 3 hour,Bad,Fabulous
Yes,Male,Computer Science,27,66,47.472683774754316,Sports,1 - 2 Hour,Night,772758,Yes,No,0 - 30 minute,Bad,Awful
No,Male,English Literature,94,63,61.03274680090573,Reading books,1 - 2 Hour,Morning,454607,Yes,No,2 - 3 hour,fabulous,Awful
Yes,Female,Chemistry,83,47,9.113158973539122,Sports,30 - 60 minute,Night,555769,No,Yes,1 - 2 Hour,Good,Bad
No,Male,Law,92,63,70.03367558347263,Sports,2 - 3 hour,Night,659346,Yes,Yes,1 - 2 Hour,fabulous,good
Yes,Male,Sociology,69,55,35.39924179588435,Video Games,2 - 3 hour,Morning,489414,No,Yes,More Than 4 hour,fabulous,Bad
No,Female,Computer Science,23,93,10.433688056663394,Video Games,0 - 30 minute,Morning,610896,Yes,Yes,3 - 4 hour,Bad,Bad
Yes,Female,Fine Arts,70,78,78.47362167864293,Reading books,3 - 4 hour,Anytime,584110,Yes,Yes,More Than 4 hour,Awful,Fabulous
No,Female,Civil Engineering,62,81,88.52926820090424,Reading books,30 - 60 minute,Night,653961,Yes,Yes,0 - 30 minute,Good,Fabulous
Yes,Female,Computer Science,67,86,38.065182607698006,Sports,2 - 3 hour,Night,823683,Yes,Yes,0 - 30 minute,fabulous,Awful
No,Male,Civil Engineering,63,55,48.070091690431894,Video Games,30 - 60 minute,Morning,595896,Yes,Yes,2 - 3 hour,fabulous,good
No,Female,Architecture,23,51,95.06659299777992,Video Games,2 - 3 hour,Anytime,716330,Yes,No,1 - 2 Hour,Awful,Bad
No,Female,English Literature,36,78,69.35433578193512,Reading books,0 - 30 minute,Anytime,523603,Yes,Yes,2 - 3 hour,Awful,Awful
Yes,Female,Political Science,60,72,73.47051614588979,Cinema,More Than 4 hour,Anytime,568029,Yes,No,1 - 2 Hour,Awful,good
Yes,Male,Commerce,86,85,49.81220073490103,Sports,3 - 4 hour,Anytime,633633,Yes,Yes,2 - 3 hour,Awful,Awful
No,Female,Physics,83,91,82.35984723111193,Cinema,0 - 30 minute,Night,602376,Yes,Yes,3 - 4 hour,Good,Awful
No,Male,Library Science,75,52,18.16681781984659,Sports,3 - 4 hour,Night,351993,Yes,No,1 - 2 Hour,Awful,good
Yes,Female,Library Science,38,88,52.02270578690656,Sports,3 - 4 hour,Anytime,555292,Yes,No,2 - 3 hour,Good,Awful
No,Female,Commerce,65,62,55.57619430820742,Sports,More Than 4 hour,Night,474014,Yes,Yes,0 - 30 minute,Bad,Fabulous
No,Male,Mechanical Engineering,9,89,79.3740259152196,Sports,More Than 4 hour,Night,689071,Yes,Yes,More Than 4 hour,Bad,Awful
No,Female,Mechanical Engineering,46,70,40.53096321097797,Cinema,2 - 3 hour,Morning,565227,Yes,Yes,30 - 60 minute,fabulous,Awful
Yes,Female,Architecture,73,75,32.255812181387995,Reading books,More Than 4 hour,Anytime,707168,No,No,3 - 4 hour,Good,good
Yes,Male,Economics,21,67,4.7927848885981446,Sports,0 - 30 minute,Morning,566459,No,Yes,3 - 4 hour,Good,good
No,Male,Accounting,13,82,88.52982083748716,Reading books,More Than 4 hour,Morning,659808,No,Yes,0 - 30 minute,Awful,good
Yes,Male,Political Science,93,92,8.324526766703972,Sports,3 - 4 hour,Morning,472954,Yes,Yes,2 - 3 hour,fabulous,Awful
No,Female,Computer Science,84,75,26.260122827276117,Video Games,30 - 60 minute,Morning,701753,No,Yes,1 - 2 Hour,Awful,Bad
Yes,Male,Physics,53,57,36.45532065047444,Sports,30 - 60 minute,Night,609079,Yes,No,More Than 4 hour,fabulous,good
No,Male,Library Science,52,54,17.319682249285734,Sports,More Than 4 hour,Anytime,382325,No,Yes,2 - 3 hour,fabulous,good
Yes,Male,Commerce,19,87,58.56103552187041,Video Games,2 - 3 hour,Anytime,612886,Yes,Yes,2 - 3 hour,Bad,Bad
No,Female,Sociology,38,72,12.723815302562906,Video Games,30 - 60 minute,Night,335681,Yes,No,1 - 2 Hour,fabulous,Fabulous
No,Male,Mechanical Engineering,64,69,95.13876447440035,Reading books,1 - 2 Hour,Anytime,650138,Yes,No,0 - 30 minute,Bad,Awful
No,Male,Computer Science,19,51,96.17265368291508,Sports,0 - 30 minute,Night,756103,Yes,No,0 - 30 minute,Bad,Bad
No,Female,Biology,47,75,14.705182548613827,Reading books,0 - 30 minute,Morning,392770,No,Yes,3 - 4 hour,Bad,Bad
Yes,Female,Physics,52,55,20.687356905775886,Reading books,2 - 3 hour,Night,552815,No,Yes,0 - 30 minute,fabulous,Awful
Yes,Male,Fine Arts,25,82,97.9725416623796,Cinema,30 - 60 minute,Anytime,594546,Yes,No,0 - 30 minute,Bad,Bad
Yes,Female,Architecture,56,86,80.87956315014392,Video Games,0 - 30 minute,Morning,803741,Yes,Yes,More Than 4 hour,fabulous,Bad
No,Female,Civil Engineering,44,57,47.44741106098381,Sports,3 - 4 hour,Anytime,579685,Yes,Yes,30 - 60 minute,fabulous,good
No,Female,Chemistry,94,88,30.033618664618004,Sports,3 - 4 hour,Anytime,459846,No,Yes,30 - 60 minute,fabulous,Awful
No,Male,Electronics and Communication,44,49,19.5194083716612,Video Games,1 - 2 Hour,Morning,545844,Yes,No,30 - 60 minute,fabulous,Bad
Yes,Female,Architecture,97,47,76.51115170338953,Reading books,30 - 60 minute,Night,731063,No,Yes,3 - 4 hour,fabulous,good
Yes,Female,Information Technology,83,53,3.8607735702884765,Sports,1 - 2 Hour,Night,716549,No,No,2 - 3 hour,Bad,Awful
Yes,Female,English Literature,28,90,87.1064626849084,Cinema,1 - 2 Hour,Morning,638027,No,Yes,2 - 3 hour,Bad,Fabulous
No,Male,Agriculture,31,75,81.45557769210087,Video Games,More Than 4 hour,Anytime,568066,Yes,Yes,3 - 4 hour,Bad,good
No,Female,Electronics and Communication,76,88,95.16385972189826,Video Games,0 - 30 minute,Anytime,786428,No,No,1 - 2 Hour,Bad,Bad
Yes,Male,Accounting,25,59,63.330207173720886,Reading books,2 - 3 hour,Anytime,699002,No,Yes,1 - 2 Hour,Bad,Awful
No,Male,Political Science,52,89,69.82362677009174,Video Games,30 - 60 minute,Morning,536446,No,Yes,More Than 4 hour,Bad,Awful
Yes,Female,Chemistry,92,57,66.2655946191349,Cinema,0 - 30 minute,Anytime,708222,No,Yes,0 - 30 minute,Good,Fabulous
No,Male,Civil Engineering,74,65,99.0761281217634,Reading books,2 - 3 hour,Night,678538,Yes,No,2 - 3 hour,Good,Bad
No,Male,Political Science,85,93,21.76643090366472,Video Games,2 - 3 hour,Anytime,462068,No,No,More Than 4 hour,Bad,Awful
No,Female,Pharmacy,49,77,89.24890146386561,Video Games,1 - 2 Hour,Night,645930,No,No,1 - 2 Hour,Good,good
Yes,Male,Political Science,23,80,93.81673443867327,Cinema,2 - 3 hour,Night,648495,Yes,Yes,3 - 4 hour,Good,Awful
Yes,Female,Architecture,15,76,55.38161936540087,Sports,More Than 4 hour,Anytime,716974,Yes,Yes,1 - 2 Hour,Awful,Bad
Yes,Male,Mathematics,11,53,6.2245431176091035,Cinema,More Than 4 hour,Anytime,494614,Yes,Yes,3 - 4 hour,Awful,Bad
Yes,Male,Mechanical Engineering,10,93,3.8538254951167326,Video Games,0 - 30 minute,Night,583952,No,Yes,3 - 4 hour,Awful,good
Yes,Male,Business Administration,15,56,61.71996739234834,Sports,30 - 60 minute,Anytime,681732,Yes,Yes,2 - 3 hour,fabulous,Bad
No,Male,Sociology,32,64,69.89628910585402,Video Games,0 - 30 minute,Night,549250,Yes,Yes,2 - 3 hour,fabulous,Bad
No,Male,Physical Education,13,66,57.1037824873814,Reading books,More Than 4 hour,Anytime,487507,No,No,0 - 30 minute,Bad,Bad
Yes,Female,Commerce,18,47,82.10410494765269,Video Games,30 - 60 minute,Anytime,697882,Yes,No,More Than 4 hour,Bad,Awful
No,Male,Pharmacy,58,66,76.08524276677794,Reading books,30 - 60 minute,Anytime,630266,No,Yes,1 - 2 Hour,Awful,Bad
No,Male,Commerce,11,69,17.816773110686093,Cinema,30 - 60 minute,Anytime,403412,No,Yes,2 - 3 hour,Bad,Bad
No,Female,Psychology,14,73,17.85906702561569,Sports,1 - 2 Hour,Night,439878,No,Yes,1 - 2 Hour,Bad,good
Yes,Male,Economics,83,89,11.971175063146946,Video Games,3 - 4 hour,Morning,614818,No,Yes,1 - 2 Hour,Awful,Awful
No,Male,Library Science,10,71,34.01304794386427,Video Games,2 - 3 hour,Morning,367761,Yes,No,30 - 60 minute,Bad,Awful
Yes,Male,Physics,82,69,39.975333444191364,Sports,0 - 30 minute,Anytime,645902,Yes,Yes,30 - 60 minute,Bad,Fabulous
No,Male,Chemistry,8,65,33.93537238879356,Video Games,0 - 30 minute,Night,518692,Yes,Yes,2 - 3 hour,Awful,Fabulous
Yes,Male,Electronics and Communication,21,78,50.16695467682126,Sports,2 - 3 hour,Night,789243,Yes,Yes,30 - 60 minute,Bad,Fabulous
No,Female,Dance,83,50,67.4775702038689,Cinema,More Than 4 hour,Night,406925,No,Yes,More Than 4 hour,Awful,Fabulous
No,Male,Chemistry,56,76,1.9478909470056407,Reading books,0 - 30 minute,Anytime,471340,No,No,2 - 3 hour,fabulous,Awful
Yes,Female,Pharmacy,22,92,5.14433739640294,Cinema,1 - 2 Hour,Night,589875,No,Yes,0 - 30 minute,Awful,Awful
Yes,Female,Music,35,69,21.656583276952748,Video Games,2 - 3 hour,Anytime,490657,Yes,No,2 - 3 hour,Good,Bad
Yes,Male,Psychology,31,90,72.38276612865394,Video Games,30 - 60 minute,Night,625749,No,No,30 - 60 minute,Awful,Awful
No,Male,Electrical Engineering,25,82,73.76510579164082,Sports,More Than 4 hour,Night,652419,No,Yes,3 - 4 hour,Good,Awful
Yes,Male,Architecture,44,83,53.8879441179841,Video Games,0 - 30 minute,Night,735180,No,Yes,30 - 60 minute,Awful,Bad
No,Male,Sociology,63,45,34.129866405240314,Cinema,0 - 30 minute,Morning,475038,No,Yes,2 - 3 hour,Good,good
Yes,Male,Mathematics,10,71,6.068651696426761,Sports,More Than 4 hour,Anytime,538670,No,Yes,More Than 4 hour,fabulous,Awful
No,Male,Music,75,51,24.898568086678374,Cinema,2 - 3 hour,Morning,330618,Yes,No,1 - 2 Hour,fabulous,Fabulous
Yes,Male,Electrical Engineering,70,90,53.40878569374085,Video Games,2 - 3 hour,Morning,719638,Yes,Yes,1 - 2 Hour,Good,Bad
No,Male,Agriculture,12,70,66.64215867649573,Video Games,0 - 30 minute,Night,564727,Yes,Yes,30 - 60 minute,Awful,good
No,Male,Mathematics,96,50,49.461646084135346,Video Games,30 - 60 minute,Anytime,533923,No,Yes,0 - 30 minute,Good,Fabulous
No,Male,Law,37,46,54.76397742894517,Video Games,1 - 2 Hour,Night,621708,Yes,Yes,0 - 30 minute,Bad,good
Yes,Female,Psychology,60,75,3.0097091530224325,Sports,More Than 4 hour,Night,445609,Yes,Yes,0 - 30 minute,Good,Fabulous
